股票代碼,背離日期
01001T,"[Timestamp('2025-02-19 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-20 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-03 00:00:00+0800', tz='Asia/Taipei')]"
01004T,"[Timestamp('2025-02-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-17 00:00:00+0800', tz='Asia/Taipei')]"
1225,"[Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
1315,"[Timestamp('2025-02-12 00:00:00+0800', tz='Asia/Taipei')]"
1418,"[Timestamp('2025-02-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-17 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
1423,"[Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei')]"
1435,"[Timestamp('2025-03-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
1438,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
1441,"[Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei')]"
1446,"[Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
1503,"[Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
1513,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
1560,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
1762,"[Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
1762,"[Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
1808,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
1903,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2207,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2231,"[Timestamp('2025-03-03 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-07 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2254,"[Timestamp('2025-02-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-17 00:00:00+0800', tz='Asia/Taipei')]"
2254,"[Timestamp('2025-02-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-17 00:00:00+0800', tz='Asia/Taipei')]"
2254,"[Timestamp('2025-02-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-17 00:00:00+0800', tz='Asia/Taipei')]"
2331,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
2331,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
2338,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei')]"
2338,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei')]"
2340,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
2340,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
2340,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
2347,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2347,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2362,"[Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2362,"[Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2367,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2367,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
